,Location,Year,Fuel_Type,Transmission,Owner_Type,Seats,Price,km_per_unit_fuel,engine_num,power_num,new_price_num,Brand,Model,price_log,kilometers_driven_log
30,Bangalore,2013,Diesel,Manual,First,5.0,7.75,19.01,1461.0,108.45,15.05,renault,duster,2.0476928433652555,11.03488966402723
31,Delhi,2012,Petrol,Manual,First,5.0,6.75,14.53,1798.0,138.1,21.085,toyota,corolla,1.9095425048844386,11.38070749514252
32,Bangalore,2013,Diesel,Automatic,Second,7.0,12.5,11.18,2696.0,184.0,67.1,mahindra,ssangyong,2.5257286443082556,11.184421397998193
33,Kolkata,2010,Diesel,Automatic,First,5.0,11.5,12.4,2698.0,179.5,67.1,audi,a6,2.4423470353692043,10.46310334047155
34,Coimbatore,2014,Petrol,Manual,Second,5.0,6.98,16.09,1598.0,103.5,12.33,volkswagen,vento,1.9430489167742813,10.922894283023263
35,Jaipur,2009,Petrol,Manual,Second,5.0,1.85,14.0,1061.0,64.0,5.51,maruti,wagon,0.6151856390902335,11.3363791990328
36,Kochi,2018,Diesel,Manual,First,5.0,8.63,24.3,1248.0,88.5,11.12,maruti,vitara,2.155244505095337,10.821277160534018
37,Delhi,2017,Petrol,Manual,First,5.0,4.85,18.15,1198.0,82.0,7.88,mahindra,kuv,1.5789787049493917,10.858998997563564
38,Pune,2013,Diesel,Automatic,First,5.0,28.0,11.74,2987.0,254.8,93.31,mercedes-benz,m-class,3.332204510175204,11.350406535472453
39,Chennai,2013,Diesel,Manual,First,5.0,5.0,22.07,1199.0,73.9,10.15,volkswagen,polo,1.6094379124341003,11.03488966402723
40,Delhi,2008,Petrol,Manual,Second,5.0,1.25,19.7,796.0,46.3,4.36,maruti,alto,0.22314355131420976,11.407564949312402
41,Kochi,2014,Petrol,Manual,First,4.0,1.53,25.4,624.0,37.5,5.87,tata,nano,0.4252677354043441,9.888272386729648
42,Coimbatore,2017,Diesel,Manual,First,6.0,5.58,25.32,1198.0,77.0,7.88,mahindra,kuv,1.7191887763932197,10.000296608464188
43,Kochi,2014,Petrol,Manual,First,5.0,4.74,18.5,1197.0,82.9,10.25,hyundai,i20,1.556037135706985,10.476921711213846
44,Bangalore,2014,Petrol,Automatic,First,5.0,8.85,14.62,1999.0,149.92,23.64,hyundai,elantra,2.180417459019838,10.744494236334926
45,Mumbai,2016,Petrol,Automatic,First,5.0,10.11,14.28,1798.0,138.03,21.085,toyota,corolla,2.3135250330323798,10.859018228147887
46,Ahmedabad,2008,Diesel,Manual,Second,5.0,4.25,14.9,1991.0,112.2,21.77,hyundai,elantra,1.4469189829363254,10.968284492709508
47,Bangalore,2012,Petrol,Manual,First,7.0,10.95,11.25,2694.0,163.7,18.64,toyota,innova,2.3933394562625097,11.166257427370521
48,Jaipur,2014,Diesel,Manual,First,5.0,3.85,24.4,1120.0,71.0,8.23,hyundai,xcent,1.3480731482996928,11.225243392518447
49,Jaipur,2012,Diesel,Manual,Second,6.0,5.5,16.55,2498.0,105.0,11.39,mahindra,thar,1.7047480922384253,11.235853571630463
50,Kochi,2015,Diesel,Automatic,First,5.0,21.43,17.11,1968.0,174.33,53.14,audi,a4,3.064791809485486,9.52134826973146
51,Delhi,2014,Diesel,Manual,First,5.0,4.25,22.9,1248.0,74.0,7.88,maruti,swift,1.4469189829363254,10.858998997563564
52,Kolkata,2014,Diesel,Manual,First,5.0,3.3,17.8,1248.0,75.0,7.88,maruti,swift,1.1939224684724346,10.87804719253426
53,Delhi,2013,Diesel,Manual,First,5.0,3.85,28.4,1248.0,74.0,7.88,maruti,swift,1.3480731482996928,11.092092879730941
54,Chennai,2015,Petrol,Manual,Third,5.0,3.6,18.9,1197.0,82.0,7.45,hyundai,grand,1.2809338454620642,10.896739325546411
55,Kolkata,2015,Petrol,Manual,First,5.0,3.99,15.04,1598.0,103.2,13.23,volkswagen,vento,1.3837912309017721,10.571316925111784
56,Kochi,2017,Petrol,Manual,First,5.0,3.3,25.17,799.0,53.3,4.78,renault,kwid,1.1939224684724346,9.713657880251851
57,Kolkata,2010,Petrol,Manual,First,5.0,2.07,20.36,1197.0,78.9,10.25,hyundai,i10,0.7275486072772777,10.373491181781864
58,Hyderabad,2010,Diesel,Automatic,First,5.0,7.75,13.29,1995.0,147.6,42.083333333333336,nissan,x-trail,2.0476928433652555,11.71023415157243
59,Hyderabad,2010,Petrol,Manual,First,5.0,2.25,18.2,998.0,67.1,5.510000000000001,maruti,zen,0.8109302162163288,10.578979797857352
60,Mumbai,2017,Diesel,Manual,First,8.0,16.5,13.68,2393.0,147.8,19.34,toyota,innova,2.803360380906535,9.998797732340453
61,Bangalore,2010,Diesel,Manual,First,5.0,2.75,20.0,1399.0,68.0,7.65,ford,figo,1.0116009116784799,11.184421397998193
62,Delhi,2015,Petrol,Automatic,First,5.0,26.7,11.74,1796.0,186.0,49.49,mercedes-benz,new,3.2846635654062037,10.968198289528557
63,Pune,2011,Diesel,Manual,Second,5.0,10.0,15.8,2148.0,170.0,49.49,mercedes-benz,new,2.302585092994046,11.082142548877775
64,Chennai,2016,Diesel,Manual,First,5.0,2.5,25.0,1396.0,69.0,7.650000000000001,tata,indica,0.9162907318741551,12.089538829274222
65,Jaipur,2012,Diesel,Automatic,First,5.0,13.5,16.55,1968.0,140.0,53.14,audi,a4,2.6026896854443837,11.092306109090387
66,Mumbai,2007,Petrol,Automatic,Second,5.0,1.85,16.4,1497.0,78.0,13.58,honda,city,0.6151856390902335,11.05089000537367
67,Coimbatore,2019,Diesel,Automatic,First,5.0,35.67,0.0,1950.0,194.0,49.14,mercedes-benz,c-class,3.5743099993708003,9.640107772607312
68,Pune,2016,Diesel,Manual,First,7.0,8.15,24.52,1248.0,88.5,11.27,maruti,ertiga,2.0980179272527715,11.05089000537367
69,Mumbai,2018,Diesel,Manual,First,5.0,10.5,22.1,1396.0,88.7,11.81,hyundai,creta,2.3513752571634776,9.472704636443673
70,Mumbai,2008,Petrol,Automatic,First,5.0,14.5,8.5,4806.0,500.0,136.0,porsche,cayenne,2.6741486494265287,11.198214720130528
71,Mumbai,2015,Diesel,Manual,First,7.0,9.65,15.1,2179.0,140.0,18.865,mahindra,xuv500,2.2669579153508947,10.928255936745675
72,Kochi,2012,Petrol,Automatic,First,5.0,3.48,16.95,1197.0,78.9,10.25,hyundai,i10,1.247032293786383,10.71836552166722
73,Kochi,2015,Diesel,Manual,First,5.0,6.92,19.64,1461.0,108.5,16.65,nissan,terrano,1.9344157696295783,10.93428484717576
74,Coimbatore,2016,Petrol,Automatic,Second,5.0,6.46,16.5,1198.0,86.8,6.62,honda,brio,1.8656293177945105,10.526748605631907
75,Delhi,2014,Diesel,Automatic,Second,5.0,29.5,18.53,1968.0,187.74,67.1,audi,a6,3.3843902633457743,10.933106969717286
76,Jaipur,2008,Diesel,Manual,First,5.0,2.0,17.8,1399.0,68.0,7.650000000000001,ford,fiesta,0.6931471805599453,11.618284980627555
77,Chennai,2006,Petrol,Manual,Third,8.0,4.5,12.4,1998.0,132.0,24.01,toyota,innova,1.5040773967762742,12.345834587905333
78,Hyderabad,2012,Diesel,Manual,First,7.0,11.75,12.8,2494.0,102.0,24.01,toyota,innova,2.463853240590168,11.55214617812351
79,Hyderabad,2005,Petrol,Manual,First,5.0,1.3,0.0,1086.0,62.1,4.55,hyundai,santro,0.26236426446749106,11.380433531920369
80,Jaipur,2012,Diesel,Manual,First,5.0,3.75,22.9,1248.0,74.0,7.88,maruti,swift,1.3217558399823195,11.462684248533481
81,Pune,2017,Petrol,Manual,First,5.0,4.5,17.57,1193.0,88.7,6.67,tata,zest,1.5040773967762742,11.156250521031495
82,Kochi,2016,Petrol,Manual,First,5.0,4.82,18.0,1198.0,86.7,8.54,honda,amaze,1.572773928062509,10.914069763697203
83,Hyderabad,2012,Diesel,Manual,First,5.0,2.8,20.0,1399.0,68.0,7.65,ford,figo,1.0296194171811581,11.161053255132654
84,Jaipur,2013,Diesel,Manual,First,5.0,3.11,23.2,1248.0,73.94,7.88,maruti,ritz,1.1346227261911428,11.50929889691453
85,Delhi,2009,Petrol,Manual,First,5.0,3.25,17.8,1497.0,117.3,13.58,honda,city,1.1786549963416462,10.858998997563564
86,Delhi,2011,Diesel,Automatic,Second,5.0,13.9,16.73,1995.0,218.0,67.87,bmw,5,2.631888840136646,11.225243392518447
87,Pune,2009,Petrol,Manual,First,5.0,2.25,20.36,1197.0,78.9,10.25,hyundai,i10,0.8109302162163288,11.471895115412236
88,Bangalore,2016,Petrol,Manual,First,5.0,5.75,18.9,1197.0,82.0,7.45,hyundai,grand,1.749199854809259,9.680344001221918
89,Hyderabad,2007,Petrol,Manual,First,5.0,2.1,17.0,1086.0,62.1,4.55,hyundai,santro,0.7419373447293773,11.208368475293602
90,Mumbai,2016,Petrol,Manual,First,5.0,5.0,17.8,1198.0,86.7,8.54,honda,amaze,1.6094379124341003,9.849506438669614
91,Delhi,2014,Diesel,Manual,First,7.0,16.5,13.0,2982.0,168.5,37.17,toyota,fortuner,2.803360380906535,11.580584113444043
92,Coimbatore,2018,Diesel,Automatic,First,5.0,39.58,17.68,1968.0,174.33,67.1,audi,a6,3.6783239401744194,10.78657304197918
93,Delhi,2013,Diesel,Manual,First,5.0,5.5,22.7,1498.0,89.84,11.685,ford,ecosport,1.7047480922384253,10.950806546816688
94,Delhi,2014,Diesel,Manual,First,7.0,8.1,15.1,2179.0,140.0,18.865,mahindra,xuv500,2.0918640616783932,10.968198289528557
95,Kolkata,2015,Diesel,Manual,First,5.0,3.5,25.8,1498.0,98.6,8.54,honda,amaze,1.252762968495368,10.308952660644293
96,Kolkata,2013,Diesel,Manual,First,5.0,2.79,22.07,1199.0,73.9,10.15,volkswagen,polo,1.0260415958332743,10.440331738700673
97,Ahmedabad,2010,Diesel,Manual,First,5.0,3.45,16.2,1493.0,110.0,14.254999999999999,hyundai,verna,1.2383742310432684,11.156279092051912
98,Bangalore,2016,Petrol,Manual,First,5.0,4.45,18.9,998.0,67.1,5.51,maruti,wagon,1.4929040961781488,11.03488966402723
99,Delhi,2010,Petrol,Manual,First,5.0,2.65,15.26,1598.0,103.5,10.15,volkswagen,polo,0.9745596399981308,11.034905792929415
100,Pune,2011,Diesel,Manual,Second,5.0,3.8,23.0,1396.0,90.0,10.25,hyundai,i20,1.33500106673234,11.276671344505923
101,Mumbai,2014,Petrol,Manual,First,5.0,4.65,18.5,1197.0,82.85,10.25,hyundai,i20,1.536867219599265,10.31493473232184
102,Pune,2017,Petrol,Manual,First,7.0,3.95,19.83,1198.0,67.0,6.45,datsun,go,1.3737155789130306,10.39973746484973
103,Kolkata,2010,Diesel,Automatic,First,5.0,9.8,14.94,2967.0,241.4,53.14,audi,a4,2.2823823856765264,10.308952660644293
104,Pune,2009,Petrol,Manual,Second,5.0,2.7,17.0,1197.0,80.0,10.25,hyundai,i20,0.9932517730102834,11.097410021008562
105,Coimbatore,2010,Petrol,Manual,First,5.0,2.41,14.0,796.0,35.0,4.36,maruti,omni,0.8796267475025636,11.449453042014655
106,Ahmedabad,2014,Petrol,Manual,First,5.0,3.9,17.71,1197.0,78.9,6.41,toyota,etios,1.3609765531356006,10.87804719253426
107,Hyderabad,2011,Diesel,Automatic,Second,5.0,24.0,14.74,2993.0,270.9,69.675,jaguar,xf,3.1780538303479458,11.26446410567173
108,Delhi,2012,Diesel,Manual,Second,7.0,5.75,16.0,2179.0,140.0,18.865,mahindra,xuv500,1.749199854809259,11.082142548877775
109,Kolkata,2014,Diesel,Automatic,First,5.0,5.25,22.32,1582.0,126.32,14.254999999999999,hyundai,verna,1.6582280766035324,10.596634733096073
110,Mumbai,2017,Diesel,Automatic,First,7.0,19.25,11.36,2755.0,171.5,27.0,toyota,innova,2.9575110607337933,10.308952660644293
111,Coimbatore,2017,Petrol,Manual,First,5.0,3.91,15.1,1196.0,73.0,5.13,maruti,eeco,1.3635373739972745,10.546735203808643
112,Bangalore,2014,Petrol,Manual,First,4.0,2.15,25.4,624.0,37.5,5.87,tata,nano,0.7654678421395714,10.146433731146518
113,Mumbai,2015,Diesel,Automatic,First,5.0,20.75,22.69,1995.0,190.0,54.43,bmw,3,3.0325462466767075,10.934659335602204
114,Delhi,2010,Petrol,Manual,First,5.0,3.35,13.5,1799.0,130.0,21.313333333333336,honda,civic,1.208960345836975,11.17167382517569
115,Ahmedabad,2014,Diesel,Manual,First,7.0,11.11,12.99,2494.0,100.6,24.01,toyota,innova,2.4078456036515385,10.915088464214607
116,Bangalore,2014,Diesel,Automatic,First,5.0,20.0,23.3,1984.0,150.0,37.9,volvo,v40,2.995732273553991,10.395130356885344
117,Coimbatore,2016,Petrol,Automatic,First,5.0,6.55,19.15,1198.0,75.94,9.51,nissan,micra,1.8794650496471605,10.593680373269637
118,Mumbai,2009,Petrol,Automatic,First,5.0,7.0,10.8,2497.0,215.0,67.87,bmw,5,1.9459101490553132,11.759785542901755
119,Mumbai,2016,Diesel,Manual,First,5.0,7.5,24.3,1248.0,88.5,9.96,maruti,vitara,2.0149030205422647,10.915088464214607
120,Mumbai,2005,Petrol,Manual,Second,5.0,0.85,17.0,1086.0,62.1,4.55,hyundai,santro,-0.16251892949777494,11.532728092266408
121,Pune,2014,Diesel,Automatic,Second,5.0,16.75,15.0,2143.0,107.3,37.03,mercedes-benz,b,2.8183982582710754,10.892154758385857
122,Kolkata,2018,Diesel,Manual,First,5.0,10.95,22.0,1582.0,126.2,14.44,hyundai,verna,2.3933394562625097,9.235032984566555
123,Pune,2011,Petrol,Manual,First,5.0,2.45,18.9,998.0,67.1,5.51,maruti,wagon,0.8960880245566357,10.689077168485634
124,Coimbatore,2017,Petrol,Automatic,First,4.0,3.23,21.9,624.0,37.48,5.87,tata,nano,1.172482137234565,10.394640940504598
125,Kolkata,2014,Diesel,Manual,First,8.0,7.75,12.05,2179.0,120.0,11.67,mahindra,scorpio,2.0476928433652555,10.645424897265505
126,Kolkata,2009,Petrol,Automatic,First,5.0,9.35,11.7,1796.0,178.0,49.49,mercedes-benz,new,2.2353763433005955,10.252452853404808
127,Pune,2013,CNG,Manual,First,5.0,3.25,26.6,998.0,58.16,5.51,maruti,wagon,1.1786549963416462,11.406453220459712
128,Bangalore,2007,Petrol,Manual,Second,5.0,5.25,10.8,2354.0,152.0,33.51,honda,cr-v,1.6582280766035324,10.772686676876432
129,Pune,2015,Diesel,Automatic,First,5.0,7.25,21.21,1498.0,103.2,13.23,volkswagen,vento,1.9810014688665833,10.915088464214607
130,Kochi,2017,Petrol,Manual,First,5.0,7.47,20.73,1373.0,91.1,11.11,maruti,ciaz,2.010894999144726,10.698401298243683
131,Jaipur,2016,Diesel,Automatic,First,7.0,13.25,16.0,2179.0,140.0,18.865,mahindra,xuv500,2.583997552432231,10.896739325546411
132,Coimbatore,2016,Petrol,Manual,First,5.0,5.81,21.1,1197.0,85.8,7.46,maruti,ritz,1.7595805708638197,10.316656245029325
133,Hyderabad,2014,Petrol,Manual,First,5.0,2.6,24.07,998.0,67.1,4.53,maruti,alto,0.9555114450274363,11.390757830996021
134,Kolkata,2017,Petrol,Automatic,First,2.0,54.0,19.0,2996.0,362.07,95.04,mercedes-benz,slc,3.9889840465642745,9.500918247539989
135,Kochi,2019,Petrol,Automatic,First,5.0,11.5,17.0,1591.0,121.3,13.49,hyundai,verna,2.4423470353692043,9.445017159104065
136,Chennai,2010,Petrol,Manual,Second,5.0,1.6,19.7,796.0,46.3,4.36,maruti,alto,0.47000362924573563,11.455137441202835
137,Coimbatore,2015,Diesel,Automatic,First,5.0,17.22,20.58,1995.0,143.0,18.865,bmw,1,2.8460714989995846,10.36788172817358
138,Mumbai,2015,Petrol,Automatic,First,5.0,6.0,19.0,1199.0,88.7,9.6,honda,jazz,1.791759469228055,9.392661928770137
139,Delhi,2012,Petrol,Manual,First,5.0,3.95,13.5,1799.0,130.0,21.313333333333336,honda,civic,1.3737155789130306,11.391638798762143
140,Kochi,2014,Diesel,Automatic,First,5.0,17.95,19.27,2143.0,170.0,49.49,mercedes-benz,new,2.8875901149342877,10.713639688348616
141,Kolkata,2014,Diesel,Manual,First,5.0,3.7,25.8,1498.0,98.6,8.54,honda,amaze,1.308332819650179,10.715395068816916
142,Kochi,2016,Petrol,Manual,First,5.0,5.43,22.0,1197.0,81.8,7.88,maruti,swift,1.691939133945844,10.440097875275846
143,Kochi,2008,Petrol,Manual,Third,5.0,1.67,17.0,1086.0,62.1,4.55,hyundai,santro,0.5128236264286637,11.299224689982603
144,Coimbatore,2012,Diesel,Manual,First,7.0,13.49,11.5,2982.0,171.0,37.17,toyota,fortuner,2.6019486702196644,11.421193874370635
145,Pune,2014,Petrol,Manual,First,5.0,2.85,18.6,1199.0,76.8,9.47,chevrolet,beat,1.0473189942805592,10.566175525611365
146,Chennai,2013,Diesel,Manual,First,5.0,4.75,21.14,1498.0,103.52,14.22,skoda,rapid,1.55814461804655,11.326595886778735
147,Kochi,2018,Petrol,Manual,First,5.0,9.9,20.73,1373.0,91.1,11.11,maruti,ciaz,2.2925347571405443,10.628206071933391
148,Mumbai,2013,Petrol,Automatic,First,4.0,37.0,11.05,2894.0,444.0,128.0,audi,rs5,3.6109179126442243,10.043249494911286
149,Mumbai,2014,Diesel,Automatic,First,5.0,26.5,21.76,1995.0,190.0,60.88,bmw,3,3.2771447329921766,10.778956289890028
150,Coimbatore,2015,Diesel,Automatic,First,5.0,23.32,17.11,1968.0,174.33,53.14,audi,a4,3.1493113614822916,10.783404714295925
151,Chennai,2016,Diesel,Manual,First,5.0,6.25,22.9,1248.0,74.0,7.88,maruti,swift,1.8325814637483102,10.46310334047155
152,Kolkata,2010,Petrol,Automatic,First,5.0,30.0,7.81,5461.0,362.9,198.3066666666667,mercedes-benz,s,3.4011973816621555,10.470986472491525
153,Coimbatore,2016,Diesel,Automatic,First,5.0,9.86,21.66,1498.0,103.52,14.22,skoda,rapid,2.288486168614544,10.908155395027697
154,Pune,2012,Diesel,Automatic,First,5.0,8.5,17.2,1968.0,138.1,33.36,skoda,superb,2.1400661634962708,11.827714306760283
155,Kochi,2019,Petrol,Manual,First,5.0,4.23,21.1,814.0,55.2,4.03,hyundai,eon,1.4422019930581866,9.569552095566886
156,Jaipur,2012,Diesel,Manual,First,5.0,3.5,22.07,1199.0,73.9,10.15,volkswagen,polo,1.252762968495368,11.091849133347846
157,Kolkata,2016,Petrol,Manual,First,5.0,2.5,20.63,1198.0,67.06,6.095000000000001,datsun,go,0.9162907318741551,8.699514748210191
158,Kolkata,2013,Petrol,Manual,First,5.0,2.39,19.4,1198.0,86.8,6.62,honda,brio,0.8712933659434193,10.412711894935144
159,Delhi,2013,Petrol,Automatic,First,5.0,11.25,14.8,1595.0,120.7,37.03,mercedes-benz,b,2.4203681286504293,10.275051108968611
160,Kochi,2015,Diesel,Manual,First,5.0,7.11,26.0,1498.0,98.6,13.58,honda,city,1.9615022438151495,10.66501741845733
161,Ahmedabad,2016,Diesel,Manual,First,7.0,10.9,12.99,2494.0,100.6,24.01,toyota,innova,2.388762789235098,11.407564949312402
162,Ahmedabad,2017,Petrol,Manual,First,5.0,6.2,20.4,1197.0,81.8,7.88,maruti,swift,1.824549292051046,10.08601742096504
163,Mumbai,2012,Diesel,Manual,First,7.0,7.9,15.1,2179.0,140.0,18.865,mahindra,xuv500,2.066862759472976,10.397939862184174
164,Kochi,2014,Diesel,Manual,First,5.0,4.42,22.7,1498.0,89.84,11.685,ford,ecosport,1.4861396960896067,11.90427812595702
165,Mumbai,2012,Diesel,Manual,First,7.0,13.5,13.0,2982.0,168.5,37.17,toyota,fortuner,2.6026896854443837,11.788775311915373
166,Chennai,2013,Diesel,Automatic,First,5.0,6.25,21.5,1498.0,108.5,13.23,volkswagen,vento,1.8325814637483102,11.082142548877775
167,Jaipur,2010,Diesel,Manual,Second,5.0,2.1,20.0,1399.0,68.0,7.65,ford,figo,0.7419373447293773,11.099271922956497
168,Mumbai,2015,Diesel,Automatic,First,5.0,45.0,15.3,2993.0,258.0,67.87,bmw,x5,3.8066624897703196,10.621327345686446
169,Coimbatore,2017,Diesel,Automatic,First,5.0,33.66,19.27,2143.0,167.62,49.49,mercedes-benz,new,3.51631018876266,10.066881099444563
170,Bangalore,2012,Petrol,Manual,Second,5.0,3.65,19.4,1198.0,86.8,6.62,honda,brio,1.2947271675944,10.714417768752456
171,Delhi,2013,Petrol,Manual,First,5.0,2.75,20.36,1197.0,78.9,10.25,hyundai,i10,1.0116009116784799,11.002099841204238
172,Bangalore,2016,Diesel,Automatic,First,5.0,42.5,17.9,2143.0,170.0,63.805,mercedes-benz,glc,3.7495040759303713,10.701310014034204
173,Kolkata,2019,Petrol,Manual,First,5.0,6.5,18.9,1197.0,81.86,7.39,hyundai,grand,1.8718021769015913,6.907755278982137
174,Mumbai,2012,Diesel,Automatic,Second,5.0,19.0,17.68,1968.0,174.33,67.1,audi,a6,2.9444389791664403,11.042921835724492
175,Mumbai,2013,Petrol,Automatic,Second,5.0,4.45,14.4,1598.0,103.6,13.23,volkswagen,vento,1.4929040961781488,9.95227771670556
176,Jaipur,2017,Diesel,Automatic,Second,5.0,23.0,16.6,1998.0,112.0,42.12,mini,countryman,3.1354942159291497,9.050758302151717
177,Bangalore,2014,Diesel,Manual,First,5.0,8.35,22.54,1396.0,88.73,10.25,hyundai,i20,2.122261538862764,10.275051108968611
178,Mumbai,2014,Diesel,Automatic,First,5.0,22.95,17.68,1968.0,174.33,67.1,audi,a6,3.133317936506554,10.596634733096073
179,Jaipur,2012,Diesel,Manual,First,5.0,1.5,25.44,936.0,57.6,5.510000000000001,chevrolet,beat,0.4054651081081644,11.385092093460344
180,Kochi,2012,Petrol,Automatic,First,5.0,6.89,13.7,1798.0,157.75,33.36,skoda,superb,1.9300710850255671,10.888128282631826
181,Chennai,2006,Diesel,Manual,Second,5.0,1.45,17.8,1399.0,68.0,7.650000000000001,ford,fiesta,0.371563556432483,12.283033686666302
182,Hyderabad,2014,Diesel,Automatic,First,5.0,33.5,22.48,1995.0,190.0,69.47,bmw,5,3.5115454388310208,10.839580911706463
183,Jaipur,2007,Petrol,Manual,First,5.0,1.25,12.9,1598.0,102.5,14.255,chevrolet,optra,0.22314355131420976,11.682668239557323
184,Hyderabad,2012,Diesel,Manual,First,5.0,4.2,22.07,1199.0,73.9,10.15,volkswagen,polo,1.4350845252893227,11.05089000537367
185,Mumbai,2015,Diesel,Manual,First,8.0,6.75,19.98,1461.0,108.5,16.23333333333333,renault,lodgy,1.9095425048844386,10.126631103850338
186,Bangalore,2014,Diesel,Automatic,First,5.0,32.0,13.0,2143.0,201.1,86.97,mercedes-benz,e-class,3.4657359027997265,10.528944584126123
187,Kochi,2017,Petrol,Manual,First,5.0,7.5,21.4,1197.0,83.1,8.78,maruti,baleno,2.0149030205422647,10.117509629400777
188,Delhi,2012,Diesel,Manual,First,5.0,4.6,22.32,1582.0,126.32,14.254999999999999,hyundai,verna,1.5260563034950492,11.03488966402723
189,Kochi,2017,Petrol,Manual,First,5.0,4.04,19.81,1086.0,68.05,4.55,hyundai,i10,1.3962446919730587,10.865516176084137
190,Kochi,2016,Diesel,Manual,First,7.0,10.31,15.4,1997.0,120.0,42.12,mahindra,scorpio,2.333114298028869,10.946217083956563
191,Coimbatore,2018,Diesel,Automatic,First,5.0,55.76,12.7,2179.0,187.7,120.0,land,rover,4.0210567664522685,10.493798805759472
